Buy Date,Buy Price,Buy Qty
2019-01-10,335.6,10
2019-02-05,337.95,10
2019-07-10,349.6,10
2019-08-05,339.0,10
2020-03-19,300.25,11
2020-04-24,350.45,9
2020-05-11,314.8,11
2020-07-09,376.75,9
2020-09-25,375.75,9
2020-10-08,340.05,10
2021-09-21,413.8,8
2021-10-29,417.7,8
2021-11-03,414.9,8
2021-12-15,384.3,9
2022-01-12,388.7,9
2022-02-04,375.65,9
2022-03-25,360.3,9
2022-04-18,371.75,9
2022-05-12,339.95,10
2022-06-15,314.0,11
2022-07-12,308.65,11
2022-08-22,333.65,10
2022-09-19,320.9,10
2022-10-10,304.65,11
2022-11-18,304.1,11
2023-02-22,320.45,10
2023-08-23,344.8,10
2023-09-27,349.0,10
2023-10-25,339.95,10
