Buy Date,Buy Price,Buy Qty
2018-11-21,260.95,13
2018-12-07,236.75,14
2019-01-09,232.65,15
2019-02-04,222.1,15
2019-03-22,231.95,15
2019-04-08,232.95,15
2019-07-15,230.4,15
2019-08-14,200.5,17
2019-09-25,192.6,18
2019-10-04,185.8,18
2019-11-15,201.15,17
2019-12-05,196.4,17
2020-01-09,198.0,17
2020-02-14,174.75,20
2020-03-26,123.25,28
2020-04-21,139.0,25
2020-05-06,133.75,26
2020-06-04,140.25,24
2020-07-15,128.0,27
2020-08-31,134.35,26
2020-09-01,133.45,26
2020-10-08,113.3,30
2021-01-01,135.35,25
2021-02-15,132.25,26
2021-03-24,132.3,26
2021-04-20,124.5,28
2021-08-20,135.6,25
2021-12-14,148.9,23
