Buy Date,Buy Price,Buy Qty
2018-10-29,2146.19,1
2018-11-12,2193.35,1
2018-12-06,2221.14,1
2019-01-04,2010.36,1
2019-02-28,1986.91,1
2019-03-18,2225.14,1
2019-04-01,2004.84,1
2019-05-29,2042.38,1
2019-06-24,1909.82,1
2019-07-19,1766.4,1
2019-08-23,1538.34,2
2019-09-04,1564.24,2
2020-02-11,1900.93,1
2020-03-31,1309.59,2
2020-04-01,1300.16,2
2021-10-29,2484.8,1
2021-11-26,2433.9,1
2021-12-20,2406.45,1
2022-03-03,2409.5,1
2022-04-13,2491.45,1
2022-05-06,2362.45,1
2023-03-14,3016.9,1
2023-07-10,3173.9,1
