Buy Date,Buy Price,Buy Qty
2018-10-29,1412.8,2
2018-12-06,1569.45,2
2019-01-03,1560.1,2
2019-02-08,1499.05,2
2019-03-08,1518.0,2
2019-05-06,1528.25,2
2019-06-14,1426.8,2
2019-07-16,1473.2,2
2019-08-13,1373.45,2
2019-09-05,1308.1,2
2019-10-03,1255.5,2
2019-11-15,1359.0,2
2020-01-28,1254.75,2
2020-02-17,1172.95,2
2020-03-18,460.8,7
2020-04-03,313.2,11
2020-05-05,418.7,8
2020-07-15,503.55,6
2020-08-04,492.6,7
2020-09-22,544.0,6
2020-10-23,608.15,5
2021-11-25,959.3,3
2021-12-13,938.55,3
2022-01-11,917.95,3
2022-02-07,933.05,3
2022-06-15,843.3,4
