Buy Date,Buy Price,Buy Qty
2018-11-20,92.7,37
2018-12-03,88.53,39
2019-02-05,89.17,39
2019-07-29,92.17,37
2019-08-05,88.17,39
2019-11-06,90.4,38
2019-12-03,85.67,40
2020-01-08,81.23,43
2020-02-03,72.03,48
2020-03-06,67.2,52
2020-05-06,51.03,68
2020-06-11,58.9,59
2020-07-16,56.17,62
2020-08-03,57.47,60
2020-09-04,55.93,62
2020-10-16,49.47,70
2020-11-03,52.0,67
2021-04-12,58.0,60
2022-03-07,74.83,46
2022-06-14,73.5,47
2022-07-05,73.6,47
2022-08-22,71.3,49
2022-09-06,70.7,49
2022-10-17,66.05,52
2022-11-17,69.1,50
