Buy Date,Buy Price,Buy Qty
2018-10-30,1123.8,3
2018-11-01,1109.55,3
2020-03-18,1171.95,2
2020-04-03,1140.85,3
2020-05-12,1157.2,3
2020-06-09,1304.15,2
2020-07-14,1298.3,2
2020-08-03,1308.55,2
2020-09-09,1326.15,2
2020-10-09,1319.85,2
2021-08-25,1697.2,2
2021-12-21,1736.55,2
2022-03-04,1752.15,1
2022-04-07,1766.45,1
2022-06-28,1668.8,2
2022-07-12,1718.95,2
2023-01-20,1762.9,1
2023-02-20,1737.3,2
2023-03-13,1673.9,2
2023-08-11,1791.45,1
2023-09-18,1798.35,1
2023-10-26,1694.85,2
2023-11-23,1739.3,2
2024-02-19,1731.4,2
2024-03-12,1720.35,2
