Buy Date,Buy Price,Buy Qty
2018-10-24,66.9,52
2018-11-12,67.23,52
2018-12-21,69.2,50
2019-01-03,66.08,52
2019-02-01,57.09,61
2019-03-20,64.36,54
2019-04-23,61.51,56
2019-05-08,53.48,65
2019-06-03,46.62,75
2019-07-08,48.4,72
2019-08-05,40.9,85
2019-10-01,42.64,82
2020-02-17,50.37,69
2020-04-03,22.42,156
2020-06-10,38.79,90
2020-07-14,38.48,90
2022-03-08,84.5,41
2022-04-19,89.3,39
2022-05-04,86.97,40
2022-06-03,85.17,41
2022-07-27,86.23,40
2022-08-10,81.2,43
2022-09-06,82.1,42
2022-10-11,73.15,47
2022-11-22,71.45,48
2022-12-13,72.0,48
2023-03-20,65.55,53
