Buy Date,Buy Price,Buy Qty
2018-10-26,151.8,23
2018-11-12,156.05,22
2018-12-07,139.4,25
2019-01-02,147.05,23
2019-02-12,137.45,25
2019-03-08,150.4,23
2019-07-29,140.35,24
2019-08-05,131.3,26
2019-09-18,127.0,27
2019-10-09,125.85,27
2019-11-15,135.55,25
2019-12-03,127.65,27
2020-01-16,124.5,28
2020-02-03,103.45,33
2020-03-06,88.5,39
2020-04-21,69.35,50
2020-06-11,86.9,40
2020-07-09,80.2,43
2020-08-12,78.1,44
2020-09-04,77.9,44
2020-10-27,66.85,52
2022-06-20,134.4,26
2022-07-26,128.2,27
2022-08-19,134.6,26
