Buy Date,Buy Price,Buy Qty
2018-12-06,66.1,52
2019-02-04,73.15,47
2019-07-19,72.8,48
2019-08-21,64.05,54
2019-09-03,59.4,58
2019-10-01,58.7,59
2019-11-07,61.95,56
2019-12-26,62.8,55
2020-01-22,61.0,57
2020-02-12,55.5,63
2020-03-02,42.75,81
2020-04-01,30.45,114
2020-05-05,29.2,119
2020-06-30,34.75,100
2020-07-13,34.55,101
2020-09-04,33.65,104
2020-10-29,26.6,131
2020-12-23,31.8,110
2021-01-11,34.9,100
2021-08-17,36.75,95
2022-02-18,37.75,92
2022-03-22,35.6,98
2022-04-13,36.65,95
2022-05-06,33.85,103
2022-06-07,31.25,112
2022-08-22,32.4,108
