Buy Date,Buy Price,Buy Qty
2018-11-20,1162.01,3
2018-12-06,1076.71,3
2019-01-03,1123.33,3
2019-02-12,1015.91,3
2019-04-30,1082.46,3
2019-05-02,1064.77,3
2019-06-06,1038.17,3
2019-07-01,1027.6,3
2019-08-22,961.25,3
2019-10-03,1005.78,3
2020-01-20,1045.87,3
2020-02-03,962.61,3
2020-03-20,566.0,6
2020-05-11,717.27,4
2020-06-17,631.43,5
2020-07-13,689.15,5
2020-08-05,642.3,5
2020-09-09,638.85,5
2020-10-07,633.8,5
2021-12-21,1173.75,2
2022-01-06,1216.3,2
2022-02-04,1233.2,2
2022-03-07,1021.3,3
2022-05-13,1061.6,3
2022-09-26,1174.95,2
2023-02-22,1208.05,2
2023-03-15,1229.55,2
