Buy Date,Buy Price,Buy Qty
2019-08-21,535.9,6
2019-09-18,557.05,6
2019-11-13,541.3,6
2020-02-28,519.7,6
2020-03-02,514.35,6
2020-04-21,345.95,10
2020-05-07,368.4,9
2020-06-10,425.0,8
2020-07-09,442.55,7
2020-10-21,454.2,7
2020-11-04,401.35,8
2022-06-16,683.65,5
2022-07-14,670.15,5
2022-09-27,677.7,5
2023-05-10,679.7,5
2023-06-09,680.25,5
2023-07-05,669.8,5
2023-08-14,590.3,5
2023-09-20,622.5,5
2023-10-19,613.55,5
2023-11-10,547.15,6
2023-12-20,572.15,6
2024-01-09,558.15,6
2024-02-09,457.95,7
2024-03-13,451.9,7
