Buy Date,Buy Price,Buy Qty
2018-10-26,203.65,17
2018-11-22,199.6,17
2018-12-21,200.05,17
2019-01-03,187.95,18
2019-04-22,175.0,20
2019-05-09,157.15,22
2019-07-01,174.05,20
2019-08-21,139.95,25
2019-10-01,151.3,23
2019-11-13,148.4,23
2019-12-11,138.5,25
2020-01-22,153.2,22
2020-02-03,134.15,26
2020-03-09,94.9,36
2020-05-08,77.4,45
2020-06-30,106.4,32
2020-10-16,94.9,36
2022-05-13,292.9,11
2022-06-09,302.9,11
2022-08-03,248.9,14
2022-09-21,277.9,12
2022-10-19,277.25,12
2023-04-24,275.25,12
2023-05-04,278.15,12
2023-06-23,276.2,12
2023-07-05,277.45,12
2023-08-03,254.05,13
2023-09-07,239.1,14
2023-10-23,215.05,16
2023-11-16,238.8,14
