Buy Date,Buy Price,Buy Qty
2019-07-24,264.2,13
2019-08-16,249.2,14
2019-09-26,237.1,14
2019-11-14,252.75,13
2019-12-10,238.15,14
2020-01-21,247.1,14
2020-02-25,244.1,14
2020-03-02,220.8,15
2020-04-15,186.55,18
2020-06-12,207.9,16
2022-02-07,557.0,6
2022-04-12,558.7,6
2022-05-02,495.0,7
2022-06-17,405.2,8
2022-07-15,393.85,8
2022-08-22,420.0,8
2022-09-06,404.45,8
2022-10-17,375.1,9
2022-11-18,393.85,8
2022-12-09,394.05,8
2023-01-06,382.0,9
2023-02-07,400.5,8
2023-03-15,375.75,9
2023-04-27,374.4,9
2023-05-04,383.7,9
2023-06-12,395.6,8
2023-10-25,381.85,9
2023-11-01,380.95,9
