Buy Date,Buy Price,Buy Qty
2018-10-26,337.4,10
2018-11-27,345.75,10
2018-12-10,340.4,10
2019-01-29,321.7,10
2019-02-15,314.0,11
2019-03-08,324.95,10
2019-04-03,338.75,10
2019-05-03,303.85,11
2019-06-14,245.6,14
2019-07-08,224.65,15
2019-08-14,218.0,16
2019-09-27,241.6,14
2019-11-11,230.45,15
2019-12-27,255.8,13
2020-01-01,254.25,13
2021-10-21,510.6,6
2021-11-03,490.5,7
2021-12-07,449.2,7
2022-01-05,458.75,7
2022-02-14,382.65,9
2022-03-04,345.95,10
2022-06-17,335.7,10
2022-07-22,350.35,9
2022-09-02,368.7,9
