Stocks,Invested Amount,Current Value of Today,Cumulative Percentage
ABB,49405.53,269785.4,446.06
ADANIENSOL,0.0,0.0,0.0
ADANIENT,41551.0,502906.0,1110.33
ADANIGREEN,35228.2,66792.6,89.6
ADANIPORTS,49793.4,157806.25,216.92
ATGL,43250.5,125430.7,190.01
AWL,52365.3,45049.5,-13.97
AMBUJACEM,47067.1,116852.8,148.27
APOLLOHOSP,7945.9,37095.0,366.84
ASIANPAINT,31735.5,39496.1,24.45
DMART,40270.5,70772.7,75.74
AXISBANK,39931.8,75598.8,89.32
BAJAJ-AUTO,19952.0,61254.2,207.01
BAJFINANCE,7402.6,20147.25,172.16
BAJAJFINSV,49508.97,105771.6,113.64
BAJAJHLDNG,23655.5,73823.85,212.08
BANKBARODA,65714.45,240358.0,265.76
BERGEPAINT,45627.54,58332.75,27.85
BEL,38301.31,262991.6,586.64
BPCL,97644.0,165759.6,69.76
BHARTIARTL,26184.39,91560.0,249.67
BOSCHLTD,0.0,0.0,0.0
BRITANNIA,42588.52,67293.8,58.01
CANBK,61088.2,252627.2,313.55
CHOLAFIN,40019.16,186910.8,367.05
CIPLA,43861.35,118793.4,170.84
COALINDIA,95946.7,255341.55,166.13
COLPAL,48338.1,96449.4,99.53
DLF,64453.05,296764.2,360.43
DABUR,64080.5,69161.4,7.93
DIVISLAB,39641.5,41583.6,4.9
DRREDDY,5079.85,12256.4,141.27
EICHERMOT,54611.48,105811.65,93.75
GAIL,82885.88,185027.85,123.23
GODREJCP,64413.1,118238.4,83.56
GRASIM,68850.78,194088.4,181.9
HCLTECH,24153.97,49469.8,104.81
HDFCBANK,36642.38,44818.25,22.31
HDFCLIFE,72672.45,95826.5,31.86
HAVELLS,50352.45,102468.45,103.5
HEROMOTOCO,69181.8,122037.3,76.4
HINDALCO,50368.9,119813.4,137.87
HAL,39648.68,377683.35,852.57
HINDUNILVR,36466.55,38119.95,4.53
ICICIBANK,23028.0,68153.4,195.96
ICICIGI,40261.1,56883.7,41.29
ICICIPRULI,58313.1,78333.75,34.33
ITC,67898.9,136485.0,101.01
IOC,86489.64,207270.0,139.65
IRCTC,22124.0,32716.25,47.88
INDUSINDBK,76837.2,139505.4,81.56
NAUKRI,10831.8,21210.2,95.81
INFY,43226.85,60633.3,40.27
INDIGO,38772.05,101994.65,163.06
JSWSTEEL,53831.45,156783.55,191.25
JINDALSTEL,41229.15,247286.55,499.79
KOTAKBANK,72160.6,86835.35,20.34
LTIM,15396.6,51599.0,235.13
LT,52143.6,167320.0,220.88
LICI,15253.95,23446.8,53.71
M&M,47944.05,162328.95,238.58
MARICO,50262.45,64590.3,28.51
MARUTI,0.0,0.0,0.0
MUTHOOTFIN,42519.0,57378.0,34.95
NTPC,58664.2,180700.0,208.02
NESTLEIND,20256.47,30643.8,51.28
ONGC,82670.6,196949.55,138.23
PIIND,19206.5,37511.0,95.3
PIDILITIND,22073.05,34816.8,57.73
POWERGRID,31057.68,79387.5,155.61
PGHH,0.0,0.0,0.0
PNB,90399.7,267762.6,196.2
RELIANCE,19230.1,37725.35,96.18
SBICARD,60952.35,54806.7,-10.08
SBILIFE,22034.25,42573.45,93.21
SRF,20174.6,22845.15,13.24
MOTHERSON,93736.22,189355.75,102.01
SHREECEM,0.0,0.0,0.0
SHRIRAMFIN,80862.46,205661.2,154.33
SIEMENS,22783.2,103789.35,355.55
SBIN,53683.65,168211.8,213.34
SUNPHARMA,52569.4,186258.8,254.31
TVSMOTOR,52575.8,263046.4,400.32
TCS,31277.65,51648.35,65.13
TATACONSUM,41882.05,142877.7,241.14
TATAMTRDVR,79435.65,683668.0,760.66
TATAMOTORS,60595.8,358942.8,492.36
TATAPOWER,72517.35,456070.45,528.91
TATASTEEL,55438.89,179219.4,223.27
TECHM,52574.9,83378.75,58.59
TITAN,17763.95,54413.25,206.31
TORNTPHARM,22401.4,56196.8,150.86
TRENT,15420.5,156072.15,912.11
UPL,81544.6,71065.8,-12.85
ULTRACEMCO,10081.25,28802.25,185.7
MCDOWELL-N,63711.6,119869.2,88.14
VBL,10246.14,109219.5,965.96
VEDL,101929.6,161032.6,57.98
WIPRO,93438.7,145630.95,55.86
ZOMATO,31292.55,92968.2,197.09
ZYDUSLIFE,80236.35,254246.4,216.87

AMOUNT_TO_INVEST,3500
Total Invested Amount,4551123.49
Total Current Value as of Today,12766291.65
Total Cumulative Percentage Return,180.51%
Start_Date,2018-1-1
End_Date,2024-12-31
