Stock,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024,12-2024
ADANIENT,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,BUY,BUY,,,,,,,,,,,,,
ADANIPORTS,,,,,,,,,,,,BUY,BUY,BUY,BUY,,BUY,BUY,,,,,,,,,,,,,,,,,,
APOLLOHOSP,,,,,,,,,,,,,BUY,,BUY,BUY,,,,,,BUY,,,,,,,,,,,,,,
ASIANPAINT,,,,,,,,,,BUY,BUY,,BUY,BUY,BUY,BUY,,,,,BUY,BUY,BUY,,BUY,BUY,,,,,,,,,,
AXISBANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,BUY,,BUY,BUY,,,,,,,,,,
BAJAJFINSV,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,
BPCL,,,,,,,,,,,BUY,,,,,BUY,,,,BUY,BUY,BUY,,,,,,,,,,,,,,
BHARTIARTL,,,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,
BRITANNIA,,,,,,,,,,,,,,,,,,,,BUY,,BUY,,,,,,,,,,,,,,
CIPLA,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,
COALINDIA,,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,BUY,BUY,,BUY,,,,,,,,,,,
DRREDDY,,,,,,,,,,,,BUY,BUY,BUY,,,BUY,,,,,,,,,,,,,,,,,,,
EICHERMOT,,,,,,,,,,,,,BUY,BUY,BUY,BUY,,,BUY,,BUY,,,,,,,,,,,,,,,
GRASIM,,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,
HCLTECH,,,,,,,,,,,,BUY,,,,BUY,,,,,,,,,,,,,,,,,,,,
HDFCBANK,,,,,,,,,,,,,,,BUY,,,,,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,
HDFCLIFE,,,,,,,,,,BUY,BUY,,,BUY,BUY,BUY,,,,,,,,,BUY,BUY,,,,,,,,,,
HEROMOTOCO,,,,,,,,,,,BUY,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,
HINDALCO,,,,,,,,,,,BUY,,,BUY,BUY,,BUY,BUY,,,,,,,,,,,,,,,,,,
HINDUNILVR,,,,,,,,,,,BUY,,,,BUY,BUY,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,
ICICIBANK,,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,BUY,,,,,,,,,,,,,,
ITC,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,
INDUSINDBK,,,,,,,,,,,,,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,
INFY,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,BUY,,,,,,,,,,,,,
JSWSTEEL,,,,,,,,,,,,,,,BUY,,BUY,,,,,,BUY,,,,,,,,,,,,,
KOTAKBANK,,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,,BUY,BUY,BUY,BUY,,BUY,BUY,,,,,,,,,,
LTIM,,,,,,,,,,,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,,
LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&M,,,,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,
MARUTI,,,,,,,,,,,,,,,BUY,BUY,,,,,,,,,BUY,,,,,,,,,,,
NTPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESTLEIND,,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,
ONGC,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,
POWERGRID,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,
RELIANCE,,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,BUY,,,,,,,,,,,,,,
SBILIFE,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,
SBIN,,,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,,,,BUY,,,,,,,,,,,,,
SUNPHARMA,,,,,,,,,,,,,,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,
TCS,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,
TATACONSUM,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,
TATAMOTORS,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,
TATASTEEL,,,,,,,,,,BUY,BUY,,,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,
