Stocks,Invested Amount,Current Value of Today,Cumulative Percentage
ADANIENT,173908.1,265137.3,52.46
ADANIPORTS,118614.05,233763.9,97.08
APOLLOHOSP,70047.8,108384.8,54.73
ASIANPAINT,204625.1,206030.55,0.69
AXISBANK,0,0,0
BAJAJ-AUTO,54607.0,126554.25,131.75
BAJFINANCE,145892.65,154050.55,5.59
BAJAJFINSV,114800.35,135790.2,18.28
BPCL,99083.0,181677.3,83.36
BHARTIARTL,78903.5,117078.0,48.38
BRITANNIA,36072.4,39490.8,9.48
CIPLA,97856.05,151039.2,54.35
COALINDIA,59644.0,123404.2,106.9
DIVISLAB,183283.4,200645.5,9.47
DRREDDY,69623.2,103074.4,48.05
EICHERMOT,114436.8,141373.8,23.54
GRASIM,57944.39,78998.4,36.33
HCLTECH,39324.3,63298.5,60.97
HDFCBANK,113841.9,105124.4,-7.66
HDFCLIFE,137840.65,148659.2,7.85
HEROMOTOCO,95132.55,171731.5,80.52
HINDALCO,98748.05,123367.3,24.93
HINDUNILVR,166996.9,160404.7,-3.95
ICICIBANK,78678.95,97639.6,24.1
ITC,19898.4,19747.2,-0.76
INDUSINDBK,77799.25,108061.9,38.9
INFY,172564.15,206252.55,19.52
JSWSTEEL,58500.5,68143.0,16.48
KOTAKBANK,193855.2,189640.0,-2.17
LTIM,92187.0,110853.0,20.25
LT,0,0,0
M&M,57747.2,92637.6,60.42
MARUTI,53824.5,69213.6,28.59
NTPC,0,0,0
NESTLEIND,57148.05,77370.0,35.39
ONGC,59730.1,118951.4,99.15
POWERGRID,59642.7,104603.45,75.38
RELIANCE,74305.91,101566.5,36.69
SBILIFE,98626.35,133036.05,34.89
SBIN,98550.2,139665.2,41.72
SUNPHARMA,57431.0,93675.0,63.11
TCS,135618.3,170188.2,25.49
TATACONSUM,98433.25,154319.9,56.78
TATAMOTORS,59420.0,134048.2,125.59
TATASTEEL,119715.0,165667.55,38.38
TECHM,173363.75,215526.75,24.32
TITAN,77051.2,118142.4,53.33
UPL,293389.8,226268.1,-22.88
ULTRACEMCO,0,0,0
WIPRO,158836.5,217676.9,37.04

Total Invested Amount,4757543.4
Total Current Value as of Today,6271972.8
Total Cumulative Percentage Return,31.83%
