Stock,01-2011,02-2011,03-2011,04-2011,05-2011,06-2011,07-2011,08-2011,09-2011,10-2011,11-2011,12-2011,01-2012,02-2012,03-2012,04-2012,05-2012,06-2012,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,03-2013,04-2013,05-2013,06-2013,07-2013,08-2013,09-2013,10-2013,11-2013,12-2013,01-2014,02-2014,03-2014,04-2014,05-2014,06-2014,07-2014,08-2014,09-2014,10-2014,11-2014,12-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,11-2017,12-2017
ABB,,,,,,,,,,,BUY,BUY,,,,,BUY,BUY,,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,nan
ADANIENSOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
ADANIENT,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,,,BUY,,,BUY,,BUY,BUY,BUY,,,,,,,,,,,,nan
ADANIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
ADANIPORTS,,,,,,,,,,,BUY,BUY,,,BUY,,BUY,BUY,BUY,BUY,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,nan
ATGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
AWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
AMBUJACEM,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,BUY,BUY,,BUY,,,,,BUY,,BUY,BUY,,,,,,,,,,,,,,,,BUY,,BUY,,BUY,BUY,BUY,,BUY,,,,,,,,,BUY,BUY,BUY,,BUY,,,,,,,,,nan
APOLLOHOSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,,,BUY,,BUY,BUY,BUY,,BUY,BUY,BUY,,,BUY,BUY,BUY,BUY,nan
ASIANPAINT,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,nan
DMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
AXISBANK,,,,,,,,,,,BUY,BUY,BUY,,,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,BUY,BUY,BUY,,,,,,,,,BUY,,nan
BAJAJ-AUTO,,,,,,,,,,,,,,,,,BUY,BUY,,,,,,,,,,BUY,,,,BUY,,,,BUY,,,,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,BUY,BUY,,,,,,,,,BUY,,,,,,,,,,,,nan
BAJFINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,nan
BAJAJFINSV,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,nan
BAJAJHLDNG,,,,,,,,,,,BUY,BUY,BUY,,,,,,BUY,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,BUY,,BUY,BUY,,,,,,,,,,,,,,,,,,,nan
BANKBARODA,,,,,,,,,,BUY,BUY,BUY,,,,BUY,BUY,,BUY,BUY,,,,,,BUY,BUY,,,,BUY,BUY,,,BUY,,BUY,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,BUY,BUY,,,,,,BUY,,BUY,,BUY,,nan
BERGEPAINT,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,nan
BEL,,,,,,,,,,,BUY,BUY,BUY,BUY,,BUY,BUY,,BUY,BUY,BUY,,BUY,BUY,,BUY,BUY,BUY,,,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,BUY,,,BUY,,,,,,,,,,,,,,,,,,,nan
BPCL,,,,,,,,,,,BUY,BUY,,BUY,,,,,,,,,BUY,,,,,,,BUY,BUY,BUY,BUY,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,BUY,,,,,,nan
BHARTIARTL,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,,,,,,,BUY,,BUY,,BUY,,,,,BUY,BUY,,,,,,,,,,BUY,BUY,BUY,BUY,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,nan
BOSCHLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
BRITANNIA,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,BUY,,BUY,,,,,BUY,BUY,BUY,,,,,,,,,,,nan
CANBK,,,,,,,,,,BUY,BUY,BUY,,,,BUY,BUY,BUY,BUY,BUY,,,,,,,BUY,,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,BUY,,nan
CHOLAFIN,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,BUY,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,nan
CIPLA,,,,,,,,,,,BUY,,,,BUY,,BUY,,,,,,,,,,,,,,,,,,BUY,BUY,,,BUY,,BUY,,,,,,,,,,,,,,,,,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,BUY,BUY,,,,BUY,,,nan
COALINDIA,,,,,,,,,,BUY,BUY,BUY,,BUY,,,BUY,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,,,,,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,BUY
COLPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,BUY,BUY,,,BUY,BUY,,BUY,BUY,BUY,,,,,,BUY,BUY,BUY,,,,,,,,,,nan
DLF,,,,,,,,,,,,BUY,BUY,,,BUY,,,,,,,BUY,,,,,,BUY,BUY,,BUY,BUY,BUY,BUY,,BUY,BUY,,BUY,BUY,,,,BUY,BUY,,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,,,,,,,,BUY,BUY,,,,,,,,,,,nan
DABUR,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,BUY,BUY,BUY,,,BUY,,,,,,,nan
DIVISLAB,,,,,,,,,,,BUY,,,BUY,BUY,,,,,,,,,,,BUY,BUY,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,,,nan
DRREDDY,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,BUY,,,BUY,BUY,,BUY,BUY,BUY,,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY
EICHERMOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,,,,,,,,,,BUY,,,,,,,,,,,,,nan
GAIL,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,BUY,BUY,,BUY,BUY,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,,,BUY,BUY,,BUY,,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,nan
GODREJCP,,,,,,,,,,,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
GRASIM,,,,,,,,,,,,,,,,,BUY,BUY,,,,,,,,,BUY,BUY,,BUY,,BUY,,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,BUY,,,,,,,BUY,BUY,,,,,,,,,BUY,BUY,,,,,,,,,,,,nan
HCLTECH,,,,,,,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,nan
HDFCBANK,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,nan
HDFCLIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
HAVELLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,nan
HEROMOTOCO,,,,,,,,,,,,,BUY,,,,BUY,,,BUY,,BUY,BUY,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,,,,BUY,BUY,,,,BUY,BUY,,,,,,,,,,BUY,,,,,,,,,,,,BUY
HINDALCO,,,,,,,,,,,BUY,BUY,,,BUY,BUY,BUY,,,BUY,BUY,BUY,BUY,,BUY,,BUY,,BUY,BUY,BUY,BUY,,,,,,BUY,,,,,,,,,,,BUY,,BUY,BUY,BUY,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,,,,,,,,,,,,,,,,nan
HAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
HINDUNILVR,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,BUY,BUY,BUY,,,BUY,,,,,,,,,,,,,,,,BUY,BUY,,,BUY,,,,BUY,,,,,,,BUY,,,,,,,,,,,,nan
ICICIBANK,,,,,,,,,,BUY,BUY,BUY,,,,BUY,BUY,BUY,,,,,,,,,,BUY,,,BUY,,,,,,,,,,,,,,,,,,,,,BUY,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,BUY,BUY,,,,,BUY,,,,,,,,,,,,BUY,,nan
ICICIGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
ICICIPRULI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY
ITC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,BUY,,,,,,,,,,,,,BUY,BUY,,BUY,BUY,,BUY,,,,BUY,BUY,,,BUY,,,,,,,BUY,,,,,,,,,BUY,BUY,BUY,BUY
IOC,,,,,,,,,,,BUY,BUY,,,BUY,BUY,BUY,BUY,BUY,BUY,,BUY,,,,,,,,BUY,BUY,,,BUY,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,,,,,,,,,,,,,,nan
IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
INDUSINDBK,,,,,,,,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,BUY,BUY,BUY,,,,BUY,BUY,,,,,,,,,,,,,,,,,,,,,,,,BUY,,,,,,,,,BUY,,,,,,,,,,,,,nan
NAUKRI,,,,,,,,,,,,BUY,BUY,BUY,,,,,BUY,,,,,,BUY,,,,,BUY,BUY,BUY,,,,,,,,,,,,,,,,,,,,,BUY,,,BUY,BUY,BUY,,,,BUY,BUY,,BUY,,,,,,,,,BUY,BUY,BUY,,,,,,,,nan
INFY,,,,,,,,,,,,,BUY,,,,BUY,BUY,BUY,,,,,,BUY,,,,BUY,BUY,,,,,,,,,,,BUY,,,,,,,,,,,,,,BUY,,,,,BUY,,,,,,,,BUY,BUY,BUY,BUY,BUY,BUY,,,BUY,,BUY,BUY,BUY,BUY,BUY,,nan
