Buy Date,Buy Price,Buy Qty
2011-11-01,624.47,5
2011-12-12,531.46,6
2012-05-11,653.34,5
2012-06-01,650.25,5
2012-08-27,672.72,5
2012-10-29,673.27,5
2012-11-20,644.9,5
2012-12-10,646.3,5
2013-01-09,650.53,5
2013-02-01,587.25,5
2013-03-14,532.5,6
2013-04-04,450.48,7
2013-05-13,469.36,7
2013-06-10,563.55,6
2013-07-04,547.62,6
2013-08-01,447.12,7
2013-09-23,506.04,6
2013-10-17,490.65,7
2014-01-29,533.32,6
2014-02-11,521.52,6
2015-09-02,1052.66,3
2015-10-12,999.46,3
2015-11-17,1084.16,3
2015-12-11,1010.49,3
2016-01-07,956.38,3
2016-02-24,982.71,3
2016-08-19,1054.02,3
2016-09-20,1051.12,3
2016-10-07,1041.77,3
2016-11-03,985.84,3
2016-12-22,934.96,3
2017-01-31,994.83,3
