Buy Date,Buy Price,Buy Qty
2011-10-24,70.67,49
2011-11-11,70.35,49
2011-12-09,49.76,70
2012-01-02,44.24,79
2012-02-24,57.74,60
2012-03-07,48.89,71
2012-04-23,42.67,82
2012-05-10,39.47,88
2012-06-05,35.09,99
2012-07-16,32.53,107
2012-08-10,27.21,128
2012-10-10,32.36,108
2013-01-30,37.68,92
2013-03-04,32.22,108
2013-04-10,31.51,111
2013-05-13,33.29,105
2013-06-03,31.87,109
2013-07-26,29.42,118
2013-08-27,22.69,154
2013-09-03,20.53,170
2015-07-16,48.5,72
2015-08-13,46.86,74
2015-09-01,39.23,89
2015-11-05,44.44,78
2015-12-09,41.03,85
2016-01-15,40.54,86
2016-02-12,34.98,100
2016-05-06,41.82,83
2016-08-16,40.27,86
2016-10-26,36.67,95
2016-11-01,36.37,96
2016-12-26,37.98,92
