Buy Date,Buy Price,Buy Qty
2011-11-14,209.9,16
2011-12-20,164.06,21
2012-01-02,158.96,22
2012-05-04,201.95,17
2012-06-01,192.91,18
2012-07-13,206.94,16
2012-08-31,198.36,17
2012-09-03,195.52,17
2013-06-20,247.96,14
2013-07-30,218.6,16
2013-08-28,167.59,20
2013-09-23,206.01,16
2013-10-08,213.36,16
2013-11-12,209.57,16
2014-01-17,230.59,15
2014-02-13,220.3,15
2015-10-08,491.5,7
2015-11-05,463.8,7
2015-12-02,459.5,7
2016-01-06,430.7,8
2016-02-03,380.55,9
2016-03-28,422.9,8
2016-04-06,424.65,8
2016-11-16,472.7,7
2016-12-20,461.65,7
2017-01-10,447.35,7
2017-10-23,449.95,7
