Buy Date,Buy Price,Buy Qty
2011-10-25,143.86,24
2011-11-16,149.31,23
2011-12-20,128.32,27
2012-04-23,148.91,23
2012-05-04,137.39,25
2012-07-27,129.96,26
2012-08-10,125.43,27
2013-02-22,148.12,23
2013-03-21,130.28,26
2013-07-26,115.0,30
2013-08-28,89.15,39
2013-11-12,115.28,30
2014-01-29,111.16,31
2015-03-11,176.9,19
2015-04-24,174.15,20
2015-05-07,153.45,22
2015-06-09,153.15,22
2015-10-28,164.05,21
2015-12-08,161.7,21
2016-01-19,125.15,27
2016-02-02,120.95,28
2016-03-28,138.75,25
2016-04-06,143.35,24
2016-05-23,131.8,26
2016-11-04,142.55,24
2016-12-26,147.35,23
2017-06-27,154.85,22
2017-08-03,158.2,22
2017-10-12,138.55,25
