Buy Date,Buy Price,Buy Qty
2011-11-16,15.31,228
2011-12-20,14.01,249
2012-01-19,15.09,231
2012-02-17,15.12,231
2012-04-04,15.26,229
2012-05-04,14.4,243
2012-07-11,13.31,262
2012-08-24,12.39,282
2012-09-05,12.32,284
2012-11-05,12.12,288
2012-12-12,11.89,294
2013-02-14,12.43,281
2013-03-13,12.19,287
2013-04-15,11.56,302
2013-07-18,12.15,287
2013-08-19,11.98,292
2013-09-16,11.84,295
2013-10-15,10.92,320
2013-12-13,10.35,338
2014-01-03,10.25,341
2014-02-03,9.23,379
2014-03-03,9.36,374
2016-02-25,32.33,108
2016-05-17,34.32,101
