Buy Date,Buy Price,Buy Qty
2011-12-12,308.5,11
2012-01-06,297.91,11
2012-02-13,313.37,11
2012-03-14,304.81,11
2012-04-09,297.19,11
2012-06-27,274.75,12
2012-07-09,285.47,12
2012-08-01,268.12,13
2012-09-26,239.01,14
2013-04-04,246.58,14
2013-06-06,265.96,13
2013-08-28,259.38,13
2014-01-21,274.79,12
2014-02-24,254.88,13
2014-12-30,315.21,11
2015-01-14,311.65,11
2015-02-24,308.28,11
2015-03-09,309.54,11
2015-08-20,342.48,10
2015-09-02,309.36,11
2015-10-08,307.82,11
2015-11-05,303.32,11
2015-12-01,290.88,12
2016-01-06,290.39,12
2016-02-29,284.35,12
2016-08-29,308.77,11
2016-09-01,280.16,12
2016-10-10,284.71,12
2016-11-02,279.03,12
2016-12-16,279.62,12
2017-01-16,287.14,12
