Buy Date,Buy Price,Buy Qty
2011-10-24,428.41,8
2011-11-09,464.15,7
2011-12-12,408.71,8
2012-04-26,428.02,8
2012-05-03,417.46,8
2012-06-28,394.31,8
2012-07-13,414.3,8
2012-08-22,331.19,10
2013-03-19,393.2,8
2013-05-02,400.88,8
2013-06-04,386.92,9
2013-07-04,337.12,10
2013-08-28,189.52,18
2013-10-28,219.58,15
2013-11-21,234.51,14
2013-12-12,255.27,13
2014-01-13,255.76,13
2014-02-11,213.35,16
2015-03-25,361.78,9
2015-04-24,365.86,9
2015-05-07,345.68,10
2015-06-08,287.52,12
2015-07-21,274.68,12
2015-10-27,282.36,12
2015-11-19,261.94,13
2015-12-03,252.55,13
2016-01-06,221.28,15
2016-02-03,175.52,19
2016-03-28,177.22,19
2016-04-06,179.75,19
2016-05-02,195.55,17
2017-10-11,305.25,11
