Buy Date,Buy Price,Buy Qty
2011-10-24,324.55,10
2011-11-01,329.5,10
2011-12-08,313.5,11
2012-02-01,317.0,11
2012-05-11,314.5,11
2013-02-25,325.8,10
2013-03-19,297.85,11
2013-04-09,306.5,11
2013-05-07,309.95,11
2013-06-12,303.05,11
2013-07-08,290.0,12
2013-08-29,250.3,13
2013-10-09,296.25,11
2013-11-11,289.25,12
2013-12-26,282.1,12
2014-01-03,277.6,12
2015-08-19,355.65,9
2015-10-12,334.4,10
2015-11-23,332.2,10
2015-12-09,307.6,11
2016-01-11,315.95,11
2016-03-10,321.7,10
2016-04-04,285.0,12
2016-05-20,279.0,12
2016-10-14,313.05,11
2016-11-18,306.7,11
2016-12-02,305.85,11
2017-01-23,303.4,11
2017-03-16,291.95,11
2017-04-07,283.9,12
2017-05-23,267.85,13
2017-06-12,260.3,13
2017-07-17,247.0,14
2017-08-10,238.95,14
2017-09-21,254.05,13
2017-11-16,268.35,13
2017-12-14,262.85,13
