Buy Date,Buy Price,Buy Qty
2011-12-20,185.25,18
2012-01-02,179.2,19
2012-04-24,186.3,18
2012-11-26,200.3,17
2013-05-30,205.75,17
2013-06-11,187.05,18
2013-08-01,137.85,25
2013-09-24,140.1,24
2013-10-17,153.3,22
2013-11-13,142.25,24
2014-01-08,162.05,21
2014-02-12,140.15,24
2014-04-23,152.35,22
2014-05-05,139.05,25
2014-09-23,155.5,22
2014-10-01,150.4,23
2014-12-15,144.75,24
2015-01-13,133.25,26
2015-03-10,144.9,24
2015-04-17,147.15,23
2015-05-07,129.0,27
2015-06-03,110.55,31
2015-07-20,108.7,32
2015-08-19,126.7,27
2015-09-01,105.8,33
2015-10-28,123.9,28
2015-11-20,102.25,34
2015-12-08,110.4,31
2016-01-07,106.8,32
2016-12-26,105.15,33
2017-01-11,125.0,28
