Buy Date,Buy Price,Buy Qty
2011-11-11,128.7,27
2011-12-27,119.6,29
2012-03-22,132.95,26
2012-04-11,123.85,28
2012-05-04,115.9,30
2012-08-16,116.7,29
2012-09-27,116.5,30
2012-10-10,116.0,30
2012-11-15,111.2,31
2013-01-24,113.9,30
2013-03-12,99.45,35
2013-05-02,95.95,36
2013-06-03,101.4,34
2013-07-26,94.45,37
2013-08-05,86.3,40
2014-02-13,100.2,34
2015-01-15,141.9,24
2015-03-11,130.35,26
2015-04-15,135.15,25
2015-05-26,134.3,26
2015-06-01,128.35,27
2015-08-12,95.9,36
2015-09-01,75.95,46
2015-10-19,86.75,40
2015-11-06,80.9,43
2015-12-09,73.75,47
2016-01-28,69.7,50
2016-02-12,60.9,57
2016-03-17,81.0,43
2016-05-23,86.9,40
