Buy Date,Buy Price,Buy Qty
2011-11-11,555.65,6
2011-12-20,479.9,7
2012-04-03,542.3,6
2012-05-10,456.55,7
2012-06-04,416.25,8
2012-07-16,418.9,8
2012-08-28,359.15,9
2012-10-23,390.75,8
2012-11-15,368.1,9
2013-02-01,415.9,8
2013-04-26,314.95,11
2013-05-10,311.4,11
2013-06-10,267.25,13
2013-07-25,196.55,17
2013-08-16,213.15,16
2013-09-25,245.0,14
2013-10-15,251.35,13
2013-11-07,240.7,14
2013-12-13,259.8,13
2014-01-03,255.65,13
2014-02-11,241.65,14
2014-07-31,274.8,12
2014-08-01,267.15,13
2014-09-17,213.35,16
2014-10-01,170.8,20
2014-11-10,155.75,22
2014-12-01,135.7,25
2015-01-07,150.35,23
2015-03-20,164.55,21
2015-04-06,154.3,22
2015-05-27,129.6,27
2015-06-03,106.7,32
2015-07-15,81.05,43
2015-08-13,68.4,51
2015-11-06,72.0,48
2015-12-09,85.0,41
2016-01-14,72.2,48
2016-02-02,60.05,58
2016-04-25,72.75,48
2016-05-16,61.35,57
2016-07-11,68.85,50
2016-11-04,68.85,50
2016-12-21,71.75,48
