Buy Date,Buy Price,Buy Qty
2011-11-09,610.78,5
2011-12-12,531.36,6
2012-03-20,572.04,6
2012-04-10,571.24,6
2012-05-04,509.84,6
2012-06-01,504.4,6
2013-02-21,633.71,5
2013-04-05,599.91,5
2013-05-30,634.42,5
2013-06-03,616.58,5
2013-07-25,569.57,6
2013-08-01,563.33,6
2013-10-17,557.93,6
2015-08-31,1068.6,3
2015-09-01,1038.6,3
2015-10-08,1022.47,3
2015-11-02,925.77,3
2015-12-03,898.57,3
2016-01-07,804.27,4
2016-02-09,742.8,4
2016-03-14,789.47,4
2016-04-29,836.4,4
2016-05-16,855.5,4
2016-11-08,931.47,3
