Buy Date,Buy Price,Buy Qty
2011-10-24,166.65,21
2011-11-03,161.9,21
2011-12-13,141.35,24
2012-01-09,102.74,34
2012-02-09,137.18,25
2012-03-01,112.69,31
2012-05-10,126.64,27
2014-02-17,462.89,7
2014-07-08,468.87,7
2014-08-01,466.09,7
2014-10-08,459.41,7
2015-09-04,637.51,5
2015-10-16,622.25,5
2015-12-15,605.64,5
2016-01-06,579.73,6
2016-02-10,483.21,7
2016-03-01,527.96,6
2016-04-07,470.91,7
2016-05-18,506.87,6
2016-06-01,492.57,7
2016-07-11,515.35,6
2016-08-01,476.92,7
2016-09-09,463.67,7
2016-10-13,490.8,7
2016-11-01,444.73,7
2016-12-21,379.95,9
2017-03-10,442.11,7
2017-04-03,409.37,8
2017-05-05,379.74,9
