Buy Date,Buy Price,Buy Qty
2011-11-16,140.79,24
2011-12-20,129.08,27
2012-03-28,134.67,25
2012-04-10,135.33,25
2012-05-04,129.12,27
2012-07-23,128.12,27
2012-12-11,128.5,27
2013-01-09,129.75,26
2013-02-22,126.29,27
2013-03-21,114.96,30
2013-06-19,120.83,28
2013-07-04,120.04,29
2013-10-07,118.54,29
2013-12-04,121.12,28
2014-01-08,107.96,32
2014-02-13,108.42,32
2014-03-03,92.67,37
2014-04-07,99.5,35
2014-05-02,95.38,36
2014-09-16,110.12,31
2015-02-10,114.29,30
2015-06-19,113.38,30
2015-08-10,109.46,31
2016-02-05,104.0,33
2017-05-23,130.79,26
