Buy Date,Buy Price,Buy Qty
2011-11-15,172.53,20
2011-12-12,171.6,20
2012-01-12,171.87,20
2012-03-23,178.27,19
2012-04-16,172.73,20
2012-11-15,169.0,20
2012-12-11,175.8,19
2013-08-05,184.27,18
2013-09-30,178.57,19
2013-10-01,174.87,20
2013-11-12,177.23,19
2013-12-17,183.13,19
2015-02-02,233.23,15
2015-03-09,210.67,16
2015-04-09,206.77,16
2015-05-08,210.33,16
2015-06-03,205.23,17
2015-07-09,199.13,17
2015-08-12,179.57,19
2015-09-02,150.13,23
2015-12-04,151.47,23
2016-02-03,142.03,24
2016-03-01,127.67,27
2016-04-04,138.2,25
2016-05-04,140.43,24
2016-06-01,140.43,24
2016-07-28,147.57,23
2016-08-01,145.87,23
2017-04-27,179.1,19
2017-05-23,174.65,20
2017-06-12,168.5,20
2017-09-14,159.35,21
