Buy Date,Buy Price,Buy Qty
2011-10-25,185.87,18
2011-11-09,193.14,18
2011-12-16,165.73,21
2012-03-06,186.66,18
2012-04-11,179.99,19
2012-05-07,159.08,22
2012-07-19,164.74,21
2012-08-10,144.26,24
2012-11-21,145.53,24
2013-03-13,157.86,22
2013-06-11,149.38,23
2013-07-04,124.01,28
2013-08-19,95.92,36
2013-10-17,92.73,37
2013-11-08,104.45,33
2013-12-13,113.02,30
2014-01-28,109.52,31
2015-02-09,166.7,20
2015-03-09,161.45,21
2015-05-07,155.95,22
2015-06-04,144.85,24
2015-07-15,143.55,24
2015-08-12,152.7,22
2015-10-30,128.35,27
2015-12-02,139.6,25
2016-01-06,109.6,31
2016-02-10,79.95,43
2016-03-28,82.15,42
2016-04-06,81.35,43
2016-05-02,84.15,41
2017-09-08,137.85,25
