Buy Date,Buy Price,Buy Qty
2011-11-14,175.31,19
2011-12-19,162.81,21
2012-01-06,167.27,20
2012-05-10,184.32,18
2012-07-27,194.1,18
2012-08-10,188.77,18
2013-03-22,208.4,16
2013-04-05,205.67,17
2013-05-30,208.85,16
2013-06-11,199.75,17
2013-07-08,187.32,18
2013-08-01,168.32,20
2013-11-08,174.43,20
2013-12-13,174.36,20
2014-01-03,171.96,20
2015-06-15,250.25,13
2015-08-31,247.35,14
2015-09-01,239.1,14
2015-10-28,242.05,14
2015-11-03,235.95,14
2015-12-03,241.1,14
2016-01-06,216.85,16
2016-02-02,169.4,20
2016-04-06,183.85,19
2016-05-02,186.0,18
2017-09-08,271.8,12
2017-10-18,243.75,14
