Buy Date,Buy Price,Buy Qty
2011-11-11,540.42,6
2011-12-09,516.5,6
2012-05-02,555.67,6
2013-07-15,661.24,5
2013-08-19,578.67,6
2013-09-26,560.64,6
2013-10-17,543.84,6
2013-11-08,547.78,6
2014-02-07,576.23,6
2014-03-04,564.25,6
2015-04-30,944.98,3
2015-05-04,806.76,4
2015-06-01,802.09,4
2015-07-15,865.03,4
2015-08-06,875.46,3
2015-09-07,782.84,4
2015-11-18,829.56,4
2015-12-11,787.03,4
2016-01-13,785.96,4
2016-11-11,859.43,4
2016-12-01,878.48,3
2017-01-18,923.15,3
2017-02-15,909.61,3
2017-03-02,876.14,3
2017-05-23,934.6,3
2017-06-09,966.46,3
2017-07-28,945.22,3
2017-08-08,945.95,3
