Buy Date,Buy Price,Buy Qty
2011-11-16,749.8,4
2011-12-12,680.15,5
2012-01-31,731.25,4
2012-05-23,668.4,5
2012-07-13,697.9,5
2012-11-15,672.95,5
2012-12-17,669.55,5
2013-01-08,680.2,5
2013-02-08,615.55,5
2013-03-01,495.2,7
2013-04-05,498.05,7
2013-05-08,556.35,6
2013-06-04,581.45,6
2013-07-04,535.05,6
2013-08-05,439.2,7
2013-10-15,503.2,6
2014-02-11,544.8,6
2015-09-07,1142.85,3
2015-11-18,1217.25,2
2015-12-03,1190.75,2
2016-01-13,1122.3,3
2016-02-11,982.8,3
2016-03-10,1035.4,3
2016-05-20,1134.4,3
2016-10-27,1175.65,2
2016-11-03,1133.45,3
2016-12-20,1090.55,3
2017-10-23,1206.5,2
2017-11-09,1213.7,2
2017-12-05,1162.0,3
