Buy Date,Buy Price,Buy Qty
2011-10-21,84.7,41
2011-11-09,89.15,39
2011-12-28,87.45,40
2013-02-26,131.85,26
2013-03-19,130.15,26
2013-11-22,141.8,24
2013-12-16,143.45,24
2014-01-28,138.95,25
2014-02-14,140.55,24
2014-03-03,135.95,25
2014-05-08,142.45,24
2014-12-15,151.6,23
2015-04-27,142.15,24
2015-06-03,137.35,25
2015-07-28,137.45,25
2015-08-11,137.7,25
2015-11-03,131.75,26
2015-12-04,133.65,26
2016-02-03,121.75,28
2016-03-14,115.65,30
2016-04-29,120.05,29
2016-05-05,116.35,30
2016-12-26,117.0,29
