Buy Date,Buy Price,Buy Qty
2011-11-09,96.1,36
2011-12-09,95.35,36
2012-07-25,122.15,28
2013-06-13,149.5,23
2013-07-09,142.5,24
2015-06-03,281.85,12
2015-07-06,254.9,13
2015-08-13,235.25,14
2015-09-02,220.3,15
2015-10-14,241.6,14
2016-02-02,253.35,13
2016-05-20,263.1,13
2016-12-23,293.7,11
2017-02-28,276.0,12
2017-03-01,274.55,12
2017-04-13,277.6,12
2017-05-04,266.95,13
2017-06-14,275.2,12
2017-07-31,260.5,13
2017-08-09,242.25,14
2017-09-06,214.9,16
2017-10-09,238.55,14
2017-11-13,238.15,14
2017-12-13,224.9,15
