Buy Date,Buy Price,Buy Qty
2011-10-21,93.85,37
2011-11-09,98.77,35
2011-12-20,78.17,44
2012-06-05,85.98,40
2012-07-17,92.35,37
2012-08-06,93.8,37
2012-09-04,93.03,37
2012-11-19,93.46,37
2013-02-13,90.76,38
2013-05-03,90.42,38
2013-06-03,84.97,41
2013-07-26,85.84,40
2013-09-02,71.65,48
2013-10-01,75.13,46
2013-11-13,74.98,46
2014-01-22,73.97,47
2014-02-28,76.04,46
2014-03-03,75.51,46
2014-05-07,76.75,45
2014-09-08,87.7,39
2014-10-01,80.8,43
2014-12-09,85.4,40
2015-01-07,78.25,44
2015-02-25,83.0,42
2015-03-11,80.85,43
2015-04-27,77.6,45
2015-05-07,71.7,48
2015-06-04,70.15,49
2015-07-09,72.45,48
2015-08-12,67.55,51
2015-11-05,68.5,51
2015-12-03,65.65,53
2016-01-13,65.7,53
2016-02-03,57.05,61
2016-11-21,68.6,51
2017-06-15,77.1,45
2017-08-10,76.7,45
2017-09-06,78.0,44
