Buy Date,Buy Price,Buy Qty
2011-11-11,40.95,85
2011-12-20,32.66,107
2012-05-10,39.6,88
2012-06-01,37.91,92
2012-07-13,40.49,86
2012-08-03,37.82,92
2012-09-03,34.11,102
2012-10-17,38.8,90
2012-11-15,35.77,97
2012-12-13,37.03,94
2013-01-24,38.54,90
2013-02-04,37.64,92
2013-03-04,31.89,109
2013-05-23,28.54,122
2013-06-10,27.69,126
2013-07-05,25.22,138
2013-09-17,27.46,127
2014-12-23,37.61,93
2015-01-13,37.3,93
2015-02-03,36.31,96
2015-03-09,32.04,109
2015-05-22,32.52,107
2015-06-03,30.13,116
2015-07-09,26.72,130
2015-08-21,22.6,154
2015-09-29,19.19,182
2015-10-20,22.94,152
2015-11-03,22.46,155
2015-12-09,21.61,161
