Buy Date,Buy Price,Buy Qty
2011-10-21,206.15,16
2011-11-21,171.25,20
2011-12-09,174.6,20
2012-03-06,198.3,17
2012-04-10,183.35,19
2012-05-10,175.1,19
2012-06-05,175.85,19
2012-07-13,190.95,18
2012-08-29,172.35,20
2012-09-06,163.1,21
2012-10-08,170.95,20
2012-11-19,166.35,21
2013-01-23,184.65,18
2013-02-05,177.75,19
2013-03-01,153.95,22
2013-05-23,156.65,22
2013-06-11,147.2,23
2013-07-18,149.6,23
2014-11-13,235.5,14
2014-12-01,226.7,15
2015-01-12,206.25,16
2015-02-18,205.2,17
2015-03-09,199.1,17
2015-05-25,199.4,17
2015-06-03,188.3,18
2015-07-06,163.4,21
2015-08-11,123.55,28
2015-09-30,84.7,41
2015-10-01,83.4,41
2015-11-06,92.2,37
2015-12-09,82.25,42
2016-01-08,81.05,43
2016-02-03,61.65,56
2016-03-16,86.3,40
