Stocks,Invested Amount,Current Value of Today,Cumulative Percentage
ABB,100879.84,192319.01,90.64
ADANIENSOL,0.0,0.0,0.0
ADANIENT,111392.63,271298.43,143.55
ADANIGREEN,0.0,0.0,0.0
ADANIPORTS,57791.0,144005.75,149.18
ATGL,0.0,0.0,0.0
AWL,0.0,0.0,0.0
AMBUJACEM,57732.65,83519.35,44.67
APOLLOHOSP,43899.3,48192.0,9.78
ASIANPAINT,15510.23,42864.5,176.36
DMART,0.0,0.0,0.0
AXISBANK,90736.64,199638.3,120.02
BAJAJ-AUTO,28161.45,50004.0,77.56
BAJFINANCE,16961.4,226614.3,1236.06
BAJAJFINSV,41415.51,335268.64,709.52
BAJAJHLDNG,35739.2,117561.35,228.94
BANKBARODA,99294.66,116471.25,17.3
BERGEPAINT,17140.71,65928.12,284.63
BEL,83821.35,396236.95,372.72
BPCL,37479.03,169287.9,351.69
BHARTIARTL,105139.87,174233.06,65.72
BOSCHLTD,0.0,0.0,0.0
BRITANNIA,42693.45,266072.63,523.22
CANBK,106689.02,136591.6,28.03
CHOLAFIN,13880.73,82911.29,497.31
CIPLA,62110.3,85190.0,37.16
COALINDIA,124490.05,111490.8,-10.44
COLPAL,46143.33,66000.0,43.03
DLF,106289.45,200218.2,88.37
DABUR,27243.9,60148.4,120.78
DIVISLAB,53987.33,108736.65,101.41
DRREDDY,60983.7,55526.6,-8.95
EICHERMOT,8338.03,15170.42,81.94
GAIL,79690.14,154017.15,93.27
GODREJCP,17122.99,63298.5,269.67
GRASIM,48870.67,131208.03,168.48
HCLTECH,36960.82,75692.5,104.79
HDFCBANK,26970.89,88002.8,226.29
HDFCLIFE,0.0,0.0,0.0
HAVELLS,23763.32,57369.9,141.42
HEROMOTOCO,41900.8,75703.0,80.67
HINDALCO,103711.35,283397.8,173.26
HAL,0.0,0.0,0.0
HINDUNILVR,32531.2,69760.35,114.44
ICICIBANK,70955.63,112412.0,58.43
ICICIGI,0.0,0.0,0.0
ICICIPRULI,9955.9,9973.6,0.18
ITC,50738.95,60021.0,18.29
IOC,55618.28,176790.26,217.86
IRCTC,0.0,0.0,0.0
INDUSINDBK,30096.3,131912.0,338.3
NAUKRI,57502.3,175215.6,204.71
INFY,72325.63,93784.58,29.67
INDIGO,16268.3,22904.5,40.79
JSWSTEEL,69132.78,257119.4,271.92
JINDALSTEL,145911.6,205050.0,40.53
KOTAKBANK,13122.5,36367.2,177.14
LTIM,0.0,0.0,0.0
LT,75525.49,139665.75,84.93
LICI,0.0,0.0,0.0
M&M,52522.16,85625.4,63.03
MARICO,6692.33,14835.0,121.67
MARUTI,29638.95,204320.55,589.37
MUTHOOTFIN,75755.15,274347.7,262.15
NTPC,85693.72,107970.0,26.0
NESTLEIND,61134.72,92876.62,51.92
ONGC,109114.19,125904.0,15.39
PIIND,22344.0,61600.0,175.69
PIDILITIND,26491.4,115481.6,335.92
POWERGRID,48584.27,87227.4,79.54
PGHH,1834.35,9395.8,412.21
PNB,106566.1,143119.0,34.3
RELIANCE,63396.05,144849.16,128.48
SBICARD,0.0,0.0,0.0
SBILIFE,0.0,0.0,0.0
SRF,79750.79,708477.12,788.36
MOTHERSON,38385.32,368774.55,860.72
SHREECEM,3486.6,18074.5,418.4
SHRIRAMFIN,86885.25,174652.23,101.01
SIEMENS,94118.9,158470.4,68.37
SBIN,91530.02,142554.0,55.75
SUNPHARMA,72135.9,62255.35,-13.7
TVSMOTOR,55624.2,1068190.2,1820.37
TCS,32178.6,37816.8,17.52
TATACONSUM,79124.8,201863.2,155.12
TATAMTRDVR,80766.0,97395.9,20.59
TATAMOTORS,75880.77,91984.05,21.22
TATAPOWER,131440.56,157080.0,19.51
TATASTEEL,100988.67,229222.17,126.98
TECHM,65729.01,97785.7,48.77
TITAN,70769.5,241140.15,240.74
TORNTPHARM,45299.88,92205.82,103.55
TRENT,62238.63,215776.0,246.69
UPL,55101.94,249148.69,352.16
ULTRACEMCO,28147.45,56167.8,99.55
MCDOWELL-N,95701.17,243611.64,154.55
VBL,0.0,0.0,0.0
VEDL,116008.45,270518.0,133.19
WIPRO,68143.26,98517.4,44.57
ZOMATO,0.0,0.0,0.0
ZYDUSLIFE,60836.73,149991.0,146.55

AMOUNT_TO_INVEST,3500,
Total Invested Amount,5054660.39
Total Current Value as of Today,12940390.32
Total Cumulative Percentage Return,156.01%
Start_Date,2011-1-1
End_Date,2017-12-31
